ward_name,total_settlements,visited_settlements,missed_settlements,coverage_percentage
 Adwana ,1,1,0,100.0
 Baluru ,3,3,0,100.0
 Bayoyi ,2,2,0,100.0
 Bazasa ,1,0,1,0.0
 Bisani-Gabas ,1,1,0,100.0
 Bishama ,2,2,0,100.0
 Daberi ,1,1,0,100.0
 Darari ,1,1,0,100.0
 Dazata ,3,3,0,100.0
 Dodeta ,1,1,0,100.0
 Ekduru ,1,1,0,100.0
 Ekngoyi ,2,2,0,100.0
 Enyoko-Kofar ,1,1,0,100.0
 Gujiri ,2,2,0,100.0
 Longoma ,1,1,0,100.0
 Nungoni-Arewa ,2,2,0,100.0
 Okradu ,4,4,0,100.0
 Okriba ,1,1,0,100.0
 Sashako ,2,2,0,100.0
 Sashasa ,2,2,0,100.0
 Satide ,2,2,0,100.0
 Suwade ,1,1,0,100.0
 Tasayi ,1,1,0,100.0
 Umyosa ,1,1,0,100.0
 Uzritu ,1,0,1,0.0
 Wangoni ,1,1,0,100.0
 Washatu ,2,2,0,100.0
 Yezata ,2,2,0,100.0
ADWANA,2,2,0,100.0
Adwana,47,47,0,100.0
BALURU,2,2,0,100.0
BAYOYI,3,3,0,100.0
BAZASA,1,1,0,100.0
BISANI-GABAS,4,4,0,100.0
BISHAMA,3,3,0,100.0
Baluru,134,134,0,100.0
Bayoyi,122,122,0,100.0
Bazasa,42,39,3,92.85714285714286
Bisani-Gabas,46,45,1,97.82608695652173
Bishama,94,84,10,89.36170212765957
DABERI,1,1,0,100.0
DARARI,1,1,0,100.0
DAZATA,1,1,0,100.0
Daberi,38,36,2,94.73684210526315
Darari,26,26,0,100.0
Dazata,59,59,0,100.0
Dodeta,53,52,1,98.11320754716981
EKDURU,2,2,0,100.0
EKNGOYI,2,2,0,100.0
Ekduru,98,90,8,91.83673469387756
Ekngoyi,117,116,1,99.14529914529915
Enyoko-Kofar,53,53,0,100.0
FAMADE,3,3,0,100.0
FAZAFA,1,1,0,100.0
Famade,88,88,0,100.0
Fazafa,45,44,1,97.77777777777777
GUJIRI,2,2,0,100.0
Gujiri,50,48,2,96.0
JIJILE,1,1,0,100.0
Jijile,39,38,1,97.43589743589743
KUNGOMI,1,1,0,100.0
KURABA-KOFAR,1,1,0,100.0
Kungomi,47,44,3,93.61702127659575
Kuraba-Kofar,34,33,1,97.05882352941177
LONGOMA,1,1,0,100.0
Longoma,48,40,8,83.33333333333334
Mawako,35,34,1,97.14285714285714
NUNGONI-AREWA,1,1,0,100.0
Nungoni-Arewa,48,46,2,95.83333333333334
OKRADU,3,3,0,100.0
Okradu,121,118,3,97.52066115702479
Okriba,36,35,1,97.22222222222221
SASHAKO,2,2,0,100.0
SATITA,2,2,0,100.0
SUDEFA,1,1,0,100.0
SUWADE,1,1,0,100.0
Sashako,41,38,3,92.6829268292683
Sashasa,59,58,1,98.30508474576271
Satide,59,59,0,100.0
Satita,109,106,3,97.24770642201835
Sudefa,34,24,10,70.58823529411765
Suwade,45,45,0,100.0
TASAYI,3,3,0,100.0
Tasayi,60,58,2,96.66666666666667
UMYOSA,7,7,0,100.0
UMZABA-KOFAR,2,2,0,100.0
Umyosa,121,121,0,100.0
Umzaba-Kofar,51,51,0,100.0
Uzritu,46,43,3,93.47826086956522
WASHATU,1,1,0,100.0
Wangoja,53,52,1,98.11320754716981
Wangoni,82,82,0,100.0
Washatu,35,34,1,97.14285714285714
YERIDE,3,3,0,100.0
YESAWO,1,1,0,100.0
YEZATA,1,1,0,100.0
Yeride,62,60,2,96.7741935483871
Yesawo,41,40,1,97.5609756097561
Yezata,39,38,1,97.43589743589743
